"","Year","Month returned from trip","Sydney","Central Coast","Hunter","North Coast NSW","South Coast","Snowy Mountains","Capital Country","The Murray","Riverina","Central NSW","New England North West","Outback NSW","Blue Mountains","Canberra","Melbourne","Peninsula","Geelong and the Bellarine","Western Grampians","Lakes","Gippsland","Phillip Island","Central Murray","Goulburn","High Country","Melbourne East","Upper Yarra","Murray East","Wimmera_Mallee","Great Ocean Road","Bendigo Loddon","Spa Country","Ballarat","Central Highlands","Macedon","Gold Coast","Brisbane","Sunshine Coast","Central Queensland","Bundaberg","Fraser Coast","Mackay","Whitsundays","Northern","Tropical North Queensland","Darling Downs","Outback","Adelaide","Barossa","Adelaide Hills","Limestone Coast","Fleurieu Peninsula","Kangaroo Island","Murraylands","Riverland","Clare Valley","Flinders Ranges and Outback","Eyre Peninsula","Yorke Peninsula","Experience Perth","Australia's Coral Coast","Australia's South West","Australia's North West","Australia's Golden Outback","Hobart and the South","East Coast","Launceston, Tamar and the North","North West","Wilderness West","Darwin","Kakadu Arnhem","Katherine Daly","Barkly","Lasseter","Alice Springs","MacDonnell"
"11",NA,"November",741.7376014,88.2088064,230.0405748,314.8404431,291.2263263,32.0619347,91.3648521,137.8114797,77.6597994,246.74174,105.9838251,66.4758209,112.1269564,176.4237229,557.7255508,117.9416022,102.3085565,57.5646188,46.4156079,78.828504,58.1599075,40.6601961,55.5499632,100.2107746,21.7927233,11.6319729,9.5818004,83.6370921,132.7341704,71.1608373,18.0013631,63.0950711,40.5461666,13.8485433,304.0186631,303.5041927,196.6315017,84.7426367,35.9204861,37.9868357,76.0472497,42.091258,53.3074447,61.1926206,109.2955466,67.9692284,178.220991,36.9706084,15.1139368,47.0420927,37.9097324,0,43.8284772,43.0279059,19.3951175,50.2116403,46.4500884,30.6576084,260.7388676,62.0826812,141.1288828,46.7148342,73.8166324,68.6939992,28.90749,68.3729436,29.2166459,14.522408,36.2146719,14.8310176,10.041812,18.4282474,11.5447712,10.9197542,4.9246953
"12",NA,"December",634.3092707,147.225211,206.4414129,336.3689207,295.0566615,53.1325823,49.9818274,96.0251057,55.9042081,133.8781568,69.8237886,24.0751114,48.4824421,134.5438171,471.696503,77.261562,52.1996414,21.5983518,44.6735807,80.1223504,92.0254444,116.9290684,68.1254362,67.349355,13.4189889,10.7288318,4.5196767,67.0706391,142.9572275,47.4846195,14.5796332,22.2608947,31.7379838,15.4906105,255.1837644,283.7115564,201.4358814,83.1445666,40.7706175,45.996466,33.3574044,15.2849808,57.2809242,115.4565228,145.6176852,13.4290386,207.2484213,9.4886951,3.1512492,36.2696916,52.1610354,4.6492159,24.122676,15.4230505,11.8151488,31.6859792,25.295283,42.4674516,287.0897752,77.4386727,181.2901942,33.276293,62.5587845,72.2971925,36.7155283,55.8503414,48.6735789,15.4035161,12.2832343,5.9364612,6.4219067,6.8848054,0,1.1247857,8.9735569
"13",NA,"January",734.3347859,231.7427027,361.319341,662.900533,611.9338163,89.7400514,123.9776393,148.0071289,105.4410101,204.7629647,164.95881,23.8961669,118.3000853,167.2176402,504.6105055,344.8499612,143.273203,34.2304461,88.3213996,151.8156749,126.7078827,87.6575056,40.3855631,137.8823145,21.389867,34.2091049,12.0956956,68.7486835,367.0377409,85.8445666,28.6896426,53.8627713,45.3246403,28.3465985,472.5949086,471.1015849,392.2663849,96.866775,75.3978478,78.2491692,63.9601985,33.6662823,57.2343334,95.5831783,124.3271246,39.3616858,238.4281536,13.028822,3.5956919,81.9476549,100.7519374,7.4462541,40.0127837,50.0660704,5.3655111,51.4735651,45.3930294,92.9679361,339.2779541,88.6124619,224.7266334,43.469951,49.492477,147.6569783,69.0488775,81.2014046,64.6349316,26.8669273,38.1764767,2.4614119,8.427161,2.4229582,8.4761955,17.5947402,3.6033964
"14",NA,"February",500.6283728,139.1752581,224.8950112,326.2616496,299.631922,51.9762655,55.3111089,72.2594647,45.1844674,108.8893875,51.3512089,31.0798681,70.6208201,91.3469017,466.1472504,137.5354359,79.0071433,28.0438637,28.7217499,77.7733519,74.8554074,56.3278466,19.2753572,64.932034,10.9384567,8.1565182,9.5129838,65.2064366,119.8829803,45.1231411,25.8683922,54.4688805,20.3310537,19.3795158,239.3974844,313.4314515,185.4582335,59.9850565,27.7384804,35.40442,23.0518465,34.4936123,37.1316329,39.0098061,95.2570803,21.8988767,156.5664517,18.0326834,5.6064076,36.0959319,82.9019865,3.067519,11.9445318,14.2930255,10.4385808,13.640966,26.8023065,29.1700758,221.5804636,38.5460302,151.128887,20.825313,33.1555773,114.7288424,32.9639902,65.7310781,59.2785037,7.944496,10.8447578,2.9859816,8.1547973,0,0.5807988,7.2902939,0
"15",NA,"March",550.5046921,97.0998228,200.5106719,312.664133,204.3649636,41.4070286,88.0472229,119.3148713,57.8384614,180.2932706,116.5969992,19.4793106,101.5632189,120.0082749,482.3294058,74.279081,130.0578818,39.4913253,35.407409,82.9488628,62.1468511,66.9781062,39.9304871,87.4344685,12.2511072,25.4578337,15.9295773,73.5060475,117.0762556,47.8843944,10.7411338,51.4397087,38.4152465,5.5657069,269.0686323,262.1563049,264.4427992,66.5437077,18.4102595,46.9817084,28.6310661,43.345077,62.8844019,54.8017418,82.732203,16.5926662,154.1931835,5.4927676,4.5708758,44.3021204,38.4702237,2.0481706,19.2574449,31.9397819,13.8341771,36.5095445,34.8286398,25.2668872,270.3403018,68.1325186,189.3107978,39.8465288,60.841675,93.4595123,28.0760554,70.1974338,42.4230888,26.3529428,19.5860076,8.1811893,8.730392,4.252197,5.7650186,23.4830043,4.2059722
"16",NA,"April",740.3767041,95.4212718,235.7968391,396.2731525,346.4736112,75.848656,115.6573384,134.474297,131.2781131,172.3916354,137.8802171,48.8897151,82.6673316,198.2107244,493.3907271,102.2968737,41.102892,20.2917819,79.8351113,109.6915295,89.2934779,48.8199927,29.9403037,154.2213549,52.7459281,35.1619849,14.8363769,70.4711451,157.796443,67.2152304,23.5935072,65.0605108,56.5643901,10.527008,302.3810775,472.7933596,219.7362261,125.603985,48.0495137,42.45278,65.6752083,56.1058363,130.0531488,142.521979,134.3972288,61.5385748,222.2049512,17.4801479,4.1579901,44.3625235,89.6078599,10.6945222,34.8923706,43.0463566,22.5776603,61.8560342,48.3392034,57.6047479,270.5898013,78.6194676,169.7256282,51.4559507,25.0272026,83.1464612,33.2291663,45.7406035,38.6322307,8.4285845,17.2904753,8.8058207,13.4181874,5.194939,7.119466,14.680236,8.0500852
"17",NA,"May",850.1865631,84.2028565,254.0658533,287.4863143,300.7516847,23.9934054,34.6553838,64.6565662,78.7636465,134.4178269,94.7996867,78.3135622,78.9186017,195.0257539,470.2700636,54.639125,88.4772834,35.9547733,31.1161896,62.6320265,55.770065,62.4784013,46.5610162,101.0989571,32.2016654,41.1196295,5.8826136,75.3299164,149.7701926,50.7248183,30.4110596,46.0105313,27.5853824,18.7026056,246.1670126,445.6175913,207.8487631,95.3949368,62.2258749,35.7685894,82.6807959,20.0206846,69.721218,92.8720497,123.2697782,78.7573324,181.8461298,16.2013058,14.7206341,56.8438529,59.959505,6.8325763,36.8230539,25.7620156,16.2139336,47.9031255,34.1387826,37.7150731,222.9390759,65.1450589,130.6879329,65.6041459,47.6971013,70.8197989,35.7910657,67.0558926,25.4031854,15.6505771,47.4829817,14.4709198,25.9390304,4.6674001,22.5678165,25.9524536,7.8468156
"18",NA,"June",614.6993836,136.2188651,195.1360708,241.403235,192.6234906,64.2292079,72.038786,72.7914682,41.7505841,164.6168548,99.4740605,25.313121,131.245448,170.5387671,496.1842666,92.3469372,76.9187542,29.8485571,23.8130683,72.3468218,44.1988741,39.6053358,35.1307038,107.2110019,11.4557122,28.3035035,5.1523355,82.957313,103.7863043,44.0804513,27.8718736,45.6755688,23.1857307,11.1075166,205.9706492,352.6002255,195.4518952,109.9390029,62.1419913,43.2963958,65.8773759,29.0221169,72.2474411,134.3047373,159.574097,49.071116,168.2169026,20.4375023,10.2318101,48.9340818,58.0155141,4.7801481,28.7832411,30.8003951,14.3201805,30.8389797,19.9978118,39.7814432,255.7300673,108.9820024,166.9805939,107.324455,68.176318,95.5784329,22.952611,36.2700283,29.2368285,12.6123891,45.4705142,15.0456189,26.0937628,16.7861521,15.8505415,28.4055373,5.4915868
"19",NA,"July",664.3397628,114.2672184,192.932068,384.6533189,269.0562023,89.2438618,96.4597774,69.718188,63.5007159,193.6542043,148.2813756,54.8722231,108.2696326,210.3556656,539.8195876,57.5776076,49.6024157,36.7674224,38.4866364,66.2709059,46.3322995,63.5459907,63.3188268,106.9705211,9.0257229,13.2885419,2.7174101,66.2314904,91.0408944,44.4242737,10.1042301,30.4841122,28.7317906,25.2779952,245.5751614,391.9953012,263.5595892,79.1028234,37.0622741,26.8107946,95.8794132,58.01102,66.3650325,119.3548338,188.3713642,76.4324607,183.0345237,2.0854596,9.3589732,26.8139844,71.2256965,0,26.7378188,22.2783941,18.9220735,72.3948443,22.2060606,22.055554,228.8354377,66.9059776,146.1506256,93.6487185,60.0891293,76.5016311,9.1556439,65.2310937,5.5052782,7.8540211,84.327569,35.0776656,35.3291211,13.3823482,33.4187936,38.2240308,11.5332396
"20",NA,"August",640.6879741,79.0228279,299.5585425,296.5034659,162.5257912,118.4732037,73.043118,51.7921003,91.6280442,131.7052608,121.5785749,35.8685973,78.7872643,128.3576853,381.4396133,62.5957014,54.3532101,12.7000442,36.0412437,76.5045495,55.0058616,83.6192245,31.7495888,89.3583959,29.0384899,42.5881947,8.4599097,82.2632145,85.1135845,64.0119025,10.1794659,35.2455826,25.2466391,36.4288455,311.4659867,411.0862773,189.7046548,136.0138843,50.2443324,71.3286757,45.1162025,32.3328287,171.5633195,130.8113474,189.3401648,72.8865016,144.7235707,13.1549525,1.6038762,20.149977,38.5137793,0,12.3055913,44.0518596,9.2060678,47.6106159,45.0763813,15.5448553,215.6986276,65.0130809,130.4293944,103.0335951,58.2531659,61.5047546,13.2256651,24.9515947,25.6269551,1.8176651,49.7164691,25.6554688,27.6844072,11.9111876,10.7933857,27.1471994,4.5936185
"21",NA,"September",664.5773325,98.6538797,180.6068502,339.2137411,161.1136879,73.872838,77.412209,92.1070598,78.0162322,172.6437487,140.0300201,108.5395156,62.7557649,110.187845,343.4587396,24.5630029,31.086547,17.4835835,26.097711,45.3710906,18.3009091,60.9427644,19.6804488,65.0485416,29.5126809,22.4308116,6.5243698,89.3151485,143.2532343,55.2957754,9.8366186,49.8672771,50.5949566,13.0350463,267.0446547,370.3823797,190.3569726,117.8290168,60.4593384,84.9354814,90.8169178,58.5879402,110.1935738,146.714704,159.0831918,63.8896333,213.7479262,15.2127059,1.0923393,20.3135165,43.9808874,5.1710971,20.116374,19.1490376,17.6082528,35.1371712,25.9084678,35.1527166,241.7214622,73.1192849,120.3149716,50.3391602,84.7775905,72.3320045,19.5754811,21.2962721,29.6092391,1.9799908,57.6784509,15.4489445,23.0206537,6.447979,11.7742296,16.0697428,3.4923949
"22",NA,"October",712.1895526,107.3210374,272.0753533,383.1940815,283.6829949,56.8379447,93.0582556,144.9796418,108.6971743,230.1728145,152.4474664,84.103551,114.1459946,267.0617577,460.7315714,75.9684976,45.9592325,49.7088746,71.5480843,84.0683017,64.045596,69.4585529,33.2462668,103.7438804,32.8068427,8.2146512,14.6305642,69.0889471,152.4709804,52.5534827,17.5055654,51.243041,70.0336977,17.3801767,316.0163198,370.8874658,262.2680628,110.7706206,46.2190671,56.8677704,68.6531638,59.6179291,75.5649401,157.4288478,169.4243797,51.9857046,227.6600813,18.8715253,6.6378563,50.4343007,61.4841924,3.121321,51.1805292,24.8562458,13.4420639,67.3547208,51.1976171,28.8514602,208.6794975,72.662216,172.4569282,41.6491936,79.9151138,58.3499124,22.3924299,69.1194978,45.8409595,15.1037711,38.917538,12.9111417,15.6774965,15.7546116,36.4144928,52.629006,11.3870259
"23",NA,"November",699.5026676,123.2648833,204.2239862,377.2524858,240.6479505,33.4602573,79.4204612,100.2960278,75.8862695,176.9094674,85.6199084,29.5596569,73.8792028,180.0444025,446.9308955,75.871215,51.0895232,31.2383046,50.4537669,75.3665816,44.4334045,72.4115072,32.2286854,84.952493,14.7414051,6.97551,6.2136596,106.6065672,122.6168069,87.7969482,17.1742546,44.6457982,45.2340752,13.1580242,342.6926624,252.6380716,162.2361915,80.6970956,42.3454875,19.784306,26.4512528,41.5150209,38.5331877,114.0618034,197.975077,30.6674821,158.5084392,21.553806,7.7889874,27.0696529,70.5676362,7.3272814,13.4050118,14.8983861,9.8039273,23.6708413,26.2967547,35.0814506,182.89662,67.5009652,161.8509758,23.6377225,58.3512218,86.8335188,18.2275143,49.3933348,24.3167344,18.3548222,26.4152131,9.7614259,12.9113131,0.9544491,2.2276011,10.9423092,0.7332403
"24",NA,"December",698.2418138,133.5512574,160.3045527,315.7887685,284.5080651,36.726861,94.1620431,84.3679991,96.8647834,175.9138398,90.8866475,23.9671609,50.815949,149.4269025,470.2147708,95.8656394,64.2713796,28.9185806,42.1368378,54.8534401,25.0093617,34.8369065,32.4129159,97.3657069,26.6320857,17.9920949,15.5894433,36.4654534,84.1213083,55.0888484,11.0067692,41.0581293,14.9062257,9.6648568,261.3381575,312.7698795,219.544881,60.1383696,51.1532038,24.4861362,30.3413437,28.092889,90.259686,66.1655094,130.0665582,46.8363287,182.4323437,10.1919575,1.2367702,24.6818576,41.3373721,1.9005721,21.3305869,34.8888731,9.3289467,34.0383264,34.1292448,24.927515,221.4204818,50.4824682,145.8525499,17.3109577,50.9159404,73.8585126,31.0799934,40.2833176,26.7061379,10.9548881,17.8957942,3.3541454,14.351513,0,3.1867312,13.5819768,2.2969677
"25",2000,"January",724.6017796,230.594553,292.2074526,632.1983054,540.4455706,80.2240627,114.3260375,158.3465418,113.544069,190.5558076,137.7636658,16.5335502,74.0398719,268.0921984,661.2330008,203.6817352,138.642775,34.5264944,119.9598096,121.5977842,120.193825,85.8805266,79.4192673,127.0053647,23.8861758,43.2853938,11.2702683,96.580922,389.8608169,153.4229668,31.4305858,72.0982924,33.5340856,9.9631158,385.5661481,409.7020268,373.5130237,93.2145679,29.3620222,86.3582452,51.3900241,37.8249915,112.4418149,114.5225926,151.6582955,53.6614723,258.2555033,33.8444993,5.9077498,103.0349321,80.0682728,26.9805079,65.2905203,40.9894333,20.50678,52.6514887,45.4707282,88.4076281,261.447663,94.6036338,271.8773663,19.6422051,68.8229346,115.3632503,43.816784,77.2681424,49.7940473,19.4573983,22.1939702,4.2670167,19.4486879,11.7106507,5.2605885,7.2636237,11.6182921
"26",NA,"February",533.1763542,83.830054,219.8805126,279.83168,280.5887931,50.4094563,86.9559854,64.3569826,51.4369631,137.6961664,104.1853657,56.7246951,52.4868528,166.3609012,392.6414875,127.1957638,111.7400479,19.1298553,55.0974692,75.1080537,72.5446641,105.4475835,33.3021812,51.3329057,32.6066809,16.8975359,8.0426642,48.312413,148.4992523,124.3060099,15.3999832,45.387946,22.7585409,15.2372591,232.915787,332.9082399,228.77228,46.6088147,14.9011977,14.4003083,18.9227704,14.9537531,29.4681806,83.2906184,74.0416803,90.3598734,223.7569419,10.878958,2.0254667,44.4360623,49.0089169,4.6795459,46.6909424,44.7433146,5.058142,57.3818379,19.3927222,50.2240391,201.6990298,30.6236088,103.841824,15.7533969,26.9586039,54.3054879,38.4620716,55.9740466,34.9570933,11.3918372,21.6187499,9.9514887,7.6301502,1.6537519,3.6967618,5.0304582,1.3845613
"27",NA,"March",639.6542603,54.7015855,223.5658346,378.0117397,304.1363197,36.4042633,37.3530039,61.0062363,61.2824428,105.5037328,105.555846,14.4525193,74.1388143,172.540933,564.3311788,93.7226381,48.0279971,16.282545,66.1087546,87.6000099,58.3161405,73.8274155,16.5529999,60.2684721,11.778458,20.8643374,8.8137426,85.4784109,149.523602,69.2686325,33.8558003,28.5111821,32.6696835,16.8343664,253.2279186,407.2976649,209.4409951,89.1547383,45.7864381,33.142342,61.5656377,23.3166079,50.239915,86.1565416,94.0460759,5.1470722,170.5570148,12.0346469,9.2679564,48.2028038,65.5218245,7.7253344,25.401415,27.4642659,4.1417053,40.3243923,41.7827157,38.1425101,289.6436117,52.4078158,108.4846421,26.4187168,69.4622348,132.0635743,47.0055846,58.8564562,47.2259137,28.8041967,26.2643176,12.8635573,11.947539,1.1318474,7.7539797,20.0881446,2.1938171
"28",NA,"April",671.9846906,149.3936881,259.190764,394.6446834,345.5382157,53.2197113,141.9958541,101.6842981,59.6035301,192.0488463,106.3193424,26.4184843,108.4139266,170.3615251,523.5680986,174.4365712,110.7893882,38.7805242,59.698431,90.899976,101.8424618,59.0452049,26.5540749,127.7143066,30.3121842,28.8533798,0,63.2020659,185.2439187,112.4695135,42.7286328,72.6120761,49.9157617,11.3884454,336.6934162,384.1834269,264.8708522,105.6245437,43.0703145,45.3503296,53.5429295,64.141731,89.0597731,99.8477349,125.3027966,80.6240539,207.5369947,20.0338917,7.4791711,75.9047927,63.5096858,9.3176624,30.1439186,37.3401279,11.5318389,31.3632848,43.5270706,54.2262551,305.6102637,57.4929302,253.6732713,38.7943405,75.1253307,92.4239113,44.8744613,62.1328005,44.3202411,17.2775985,44.3626398,15.1164683,22.5456533,12.1110485,9.1291877,8.8528473,4.2535297
